flat_data1,flat_data2
0.4521484375,2.7421875
4.44921875,2.7421875
1.345703125,2.7421875
0.99755859375,2.7421875
1.0439453125,2.7421875
1.31640625,2.7421875
1.2216796875,2.744140625
0.75732421875,2.7421875
0.83984375,2.7421875
1.2119140625,2.740234375
1.0224609375,2.7421875
0.982421875,2.744140625
0.97021484375,2.7421875
0.392822265625,2.736328125
1.3125,2.7421875
1.392578125,2.7421875
1.0341796875,2.7421875
0.86865234375,2.74609375
1.1640625,2.7421875
1.0009765625,2.7421875
0.8740234375,2.744140625
2.333984375,2.74609375
2.1875,2.74609375
0.95751953125,2.74609375
0.9580078125,2.7421875
1.0283203125,2.744140625
0.93017578125,2.740234375
1.16796875,2.7421875
1.1689453125,2.73828125
0.951171875,2.73828125
0.7744140625,2.7421875
0.82373046875,2.7421875
0.83544921875,2.7421875
0.93017578125,2.7421875
0.97314453125,2.7421875
1.2333984375,2.744140625
1.34765625,2.751953125
0.89111328125,2.744140625
1.06640625,2.74609375
1.0771484375,2.744140625
1.064453125,2.7421875
1.037109375,2.7421875
0.91357421875,2.7421875
0.6884765625,2.74609375
0.89990234375,2.74609375
0.83447265625,2.74609375
0.93896484375,2.7421875
0.94677734375,2.74609375
0.82666015625,2.740234375
1.5546875,2.748046875
1.548828125,2.748046875
0.77392578125,2.74609375
0.818359375,2.74609375
0.947265625,2.74609375
0.82666015625,2.7421875
0.84375,2.74609375
1.0849609375,2.7421875
1.205078125,2.74609375
0.73388671875,2.744140625
0.8896484375,2.7421875
0.85791015625,2.740234375
0.908203125,2.7421875
0.88330078125,2.75
1.1240234375,2.74609375
1.0625,2.744140625
0.86474609375,2.744140625
0.94970703125,2.7421875
0.90771484375,2.744140625
0.95703125,2.74609375
0.94677734375,2.74609375
1.1328125,2.74609375
1.1748046875,2.74609375
0.9052734375,2.74609375
0.90673828125,2.7421875
0.8994140625,2.73828125
0.97314453125,2.7421875
0.9189453125,2.7421875
0.994140625,2.7421875
0.78369140625,2.744140625
0.84033203125,2.7421875
0.97412109375,2.7421875
1.09375,2.744140625
1.03125,2.7421875
1.033203125,2.740234375
1.2412109375,2.74609375
1.1396484375,2.744140625
0.9658203125,2.7421875
1.099609375,2.74609375
1.0087890625,2.7421875
1.0986328125,2.744140625
1.0234375,2.73828125
1.517578125,2.74609375
1.33203125,2.744140625
0.91455078125,2.7421875
1.0439453125,2.7421875
1.005859375,2.7421875
1.12890625,2.74609375
1.068359375,2.74609375
1.2998046875,2.7421875
1.119140625,2.74609375
1.0048828125,2.740234375
0.9775390625,2.744140625
1.1015625,2.7421875
1.109375,2.74609375
1.0654296875,2.74609375
1.2119140625,2.73828125
1.10546875,2.73828125
1.0185546875,2.744140625
1.0283203125,2.744140625
1.091796875,2.744140625
1.173828125,2.74609375
1.05859375,2.7421875
1.41796875,2.7421875
1.294921875,2.740234375
1.02734375,2.7421875
1.1142578125,2.74609375
1.0712890625,2.74609375
1.142578125,2.74609375
1.1611328125,2.74609375
0.9873046875,2.7421875
0.87451171875,2.7421875
0.9619140625,2.7421875
0.966796875,2.7421875
1.1083984375,2.7421875
1.099609375,2.74609375
1.1259765625,2.744140625
1.1806640625,2.74609375
1.2216796875,2.74609375
0.98486328125,2.7421875
1.0302734375,2.744140625
1.0673828125,2.7421875
1.0771484375,2.744140625
1.1494140625,2.7421875
1.19921875,2.7421875
1.01171875,2.744140625
1.10546875,2.744140625
1.3095703125,2.7421875
1.16015625,2.74609375
0.84912109375,2.7421875
1.2841796875,2.7421875
1.6806640625,2.7421875
1.79296875,2.744140625
